RecordedDate,profile_id,lang_x,WFC,age,gender,employment_status,industry,industry_other,local_migrant,migrate_alone_family,state_of_origin,has_benefit,wage_type_x,num_family_members,current_wage,answer_history,design_history,wage,alpha_logit_1.mean,alpha_logit_1.std,mu_logit_1.mean,mu_logit_1.std
8/7/24 8:04,9db402d6-e6d2-4c95-aed2-a943ad20476e,Hindi,Dahej,29,Male,,Construction,,migrant,alone,Madhya Pradesh,,Monthly,,15000,"['0', '1', '0', '1', '1', '1', '1', '1', '1', '0']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10300'), 'wage_a': Decimal('17200')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19800'), 'wage_a': Decimal('15100')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('22200'), 'wage_a': Decimal('19200')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('13000'), 'wage_a': Decimal('16800')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21300'), 'wage_a': Decimal('16300')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('15100'), 'wage_a': Decimal('19600')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('17600'), 'wage_a': Decimal('12100')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('16900'), 'wage_a': Decimal('21400')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21300'), 'wage_a': Decimal('16400')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('14500'), 'wage_a': Decimal('20100')}]",15000,0.262092693,0.173715769,5.18310831,2.877158756
8/7/24 8:24,8d72f2e7-6069-4e13-8afb-04163905880d,Hindi,Dahej,45,Male,,Garment,CHEMICAL,local,,,,Daily,,450,"['0', '0', '0', '0', '0', '1', '1', '0', '1', '1']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('250'), 'wage_a': Decimal('410')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('525'), 'wage_a': Decimal('420')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('275'), 'wage_a': Decimal('400')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('595'), 'wage_a': Decimal('425')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('375'), 'wage_a': Decimal('575')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('435'), 'wage_a': Decimal('305')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('420'), 'wage_a': Decimal('305')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('610'), 'wage_a': Decimal('560')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('490'), 'wage_a': Decimal('385')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('455'), 'wage_a': Decimal('360')}]",450,0.19986599,0.14005831,5.692413416,2.72358386
8/7/24 10:22,7d6b20d2-d452-404e-8a93-9448e846ce1e,Hindi,Dahej,28,Male,,Chemical,,migrant,alone,Bihar,,Monthly,,15000,"['1', '0', '0', '1', '1', '1', '1', '0', '0', '1']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10100'), 'wage_a': Decimal('20000')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('8400'), 'wage_a': Decimal('17700')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('11700'), 'wage_a': Decimal('22400')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10900'), 'wage_a': Decimal('17700')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21000'), 'wage_a': Decimal('11500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10100'), 'wage_a': Decimal('16400')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10000'), 'wage_a': Decimal('17700')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('8200'), 'wage_a': Decimal('18700')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('11200'), 'wage_a': Decimal('19500')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21100'), 'wage_a': Decimal('12000')}]",15000,0.49616794,0.196296363,4.417810605,2.783409753
8/7/24 10:25,938544c4-96d1-43eb-bb64-b0a40b5a0539,Hindi,Dahej,27,Male,,Construction,,migrant,alone,West Bengal,,Monthly,,15000,"['1', '0', '0', '0', '0', '0', '0', '1', '1', '0']","[{'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('20200'), 'wage_a': Decimal('11000')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('13500'), 'wage_a': Decimal('19000')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('16100'), 'wage_a': Decimal('19700')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('13100'), 'wage_a': Decimal('11400')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('18700'), 'wage_a': Decimal('15700')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('12700'), 'wage_a': Decimal('17500')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('20900'), 'wage_a': Decimal('14900')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('10200'), 'wage_a': Decimal('8300')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('17000'), 'wage_a': Decimal('12900')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('13000'), 'wage_a': Decimal('15700')}]",15000,0.188934945,0.156178288,5.040256147,2.738308821
8/8/24 7:28,8507add0-802f-4923-a7b4-88e0fae0ae7c,English,Savli,20,Male,,Chemical,,local,,,,Monthly,,15000,"['0', '1', '0', '0', '1', '1', '0', '1', '0', '1']","[{'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('13200'), 'wage_a': Decimal('8000')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21600'), 'wage_a': Decimal('10100')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('16200'), 'wage_a': Decimal('9900')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('10700'), 'wage_a': Decimal('20100')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19000'), 'wage_a': Decimal('10800')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19100'), 'wage_a': Decimal('11400')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('20300'), 'wage_a': Decimal('14200')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('13600'), 'wage_a': Decimal('17500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('7500'), 'wage_a': Decimal('11300')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19600'), 'wage_a': Decimal('11900')}]",15000,0.410872601,0.159152224,5.447352901,2.802724601
8/8/24 8:35,be7e0522-10b6-4295-bc10-3f49456d3810,Hindi,Bhosari,33,Male,,Automotive,,migrant,family,Maharashtra,,Monthly,,13000,"['0', '1', '0', '1', '0', '0', '1', '0', '0', '0']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('12600'), 'wage_a': Decimal('19500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('12800'), 'wage_a': Decimal('17800')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('18000'), 'wage_a': Decimal('11800')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19500'), 'wage_a': Decimal('11500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('6800'), 'wage_a': Decimal('10200')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('7500'), 'wage_a': Decimal('11000')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('8900'), 'wage_a': Decimal('7700')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('12200'), 'wage_a': Decimal('14200')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('9600'), 'wage_a': Decimal('10700')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('12400'), 'wage_a': Decimal('11900')}]",13000,0.215781239,0.195181213,3.65550338,2.482060802
8/9/24 12:04,4f50ea56-e21d-4e5e-b10d-853534a0499e,Hindi,Vatva,29,Male,,Steel + Cement,,migrant,family,Madhya Pradesh,,Monthly,,20000,"['0', '1', '0', '0', '1', '1', '0', '1', '1', '1']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('15600'), 'wage_a': Decimal('26700')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('19700'), 'wage_a': Decimal('14100')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('29000'), 'wage_a': Decimal('24000')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('24100'), 'wage_a': Decimal('18600')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('20800'), 'wage_a': Decimal('28500')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('21900'), 'wage_a': Decimal('15100')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('17900'), 'wage_a': Decimal('26200')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('23500'), 'wage_a': Decimal('29500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('20500'), 'wage_a': Decimal('27400')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('23300'), 'wage_a': Decimal('17400')}]",20000,0.352405462,0.17464354,5.173679456,2.904155839
8/11/24 5:02,f0c737c3-dd3d-4174-8831-1fa9650ae4a4,Hindi,Chakan,35,Male,,Construction,,migrant,family,Maharashtra,,Daily,,700,"['1', '0', '0', '1', '0', '0', '0', '1', '0', '0']","[{'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('725'), 'wage_a': Decimal('450')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('445'), 'wage_a': Decimal('625')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('930'), 'wage_a': Decimal('735')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('620'), 'wage_a': Decimal('970')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('485'), 'wage_a': Decimal('780')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('1015'), 'wage_a': Decimal('725')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('445'), 'wage_a': Decimal('675')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('715'), 'wage_a': Decimal('505')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('475'), 'wage_a': Decimal('645')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('530'), 'wage_a': Decimal('685')}]",700,0.252858079,0.179905614,4.296596806,2.722860321
8/11/24 5:03,94312f1c-ded3-4267-9174-dfb962a1a91b,Hindi,Chakan,28,Male,,Construction,,migrant,family,Maharashtra,,Daily,,600,"['1', '1', '1', '1', '0', '1', '1', '1', '0', '1']","[{'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('440'), 'wage_a': Decimal('690')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('395'), 'wage_a': Decimal('765')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('880'), 'wage_a': Decimal('395')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('700'), 'wage_a': Decimal('365')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('730'), 'wage_a': Decimal('405')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('355'), 'wage_a': Decimal('765')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('405'), 'wage_a': Decimal('835')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('385'), 'wage_a': Decimal('900')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('740'), 'wage_a': Decimal('305')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('350'), 'wage_a': Decimal('705')}]",600,0.846291114,0.151405127,5.108740141,2.720963962
8/11/24 5:09,4ac49bcf-c65b-46ce-b734-12110a55df72,Hindi,Chakan,46,Male,,Construction,,migrant,family,Maharashtra,,Daily,,1000,"['0', '1', '0', '1', '1', '1', '0', '0', '0', '0']","[{'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('1360'), 'wage_a': Decimal('835')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('640'), 'wage_a': Decimal('1320')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('1195'), 'wage_a': Decimal('525')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('575'), 'wage_a': Decimal('1365')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('510'), 'wage_a': Decimal('1190')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('730'), 'wage_a': Decimal('1300')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('1495'), 'wage_a': Decimal('595')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('500'), 'wage_a': Decimal('1325')}, {'design_a': 'Yes', 'design_b': 'No', 'wage_b': Decimal('810'), 'wage_a': Decimal('500')}, {'design_a': 'No', 'design_b': 'Yes', 'wage_b': Decimal('520'), 'wage_a': Decimal('1340')}]",1000,0.9020852,0.096157696,6.703826755,2.415740463
